Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginTestSuite,Chrome 71.0.3578.98,,2019-01-06 16:41:31,2019-01-06 16:42:47,1m - 16.308s,PASSED
,,,,,,
Test Cases/UserLogin/Login,Chrome 71.0.3578.98,This test case is to verify user login,2019-01-06 16:41:32,2019-01-06 16:42:12,40.096s,PASSED
openBrowser(applicationUrl),Chrome 71.0.3578.98,,2019-01-06 16:41:33,2019-01-06 16:41:49,16.037s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-06 16:41:49,2019-01-06 16:41:50,1.376s,PASSED
waitForPageLoad(timeOut),Chrome 71.0.3578.98,,2019-01-06 16:41:50,2019-01-06 16:41:52,2.029s,PASSED
"waitForElementVisible(findTestObject(""Efc/EfcLoginPage/EfcLogo""), timeOut)",Chrome 71.0.3578.98,,2019-01-06 16:41:52,2019-01-06 16:41:53,0.700s,PASSED
"verifyElementPresent(findTestObject(""Efc/EfcLoginPage/SearchButton""), timeOut)",Chrome 71.0.3578.98,,2019-01-06 16:41:53,2019-01-06 16:41:53,0.056s,PASSED
"click(findTestObject(""Efc/EfcLoginPage/LoginButton""))",Chrome 71.0.3578.98,,2019-01-06 16:41:53,2019-01-06 16:41:59,5.733s,PASSED
"clearText(findTestObject(""Efc/EfcLoginPage/UserName""))",Chrome 71.0.3578.98,,2019-01-06 16:41:59,2019-01-06 16:41:59,0.163s,PASSED
"sendKeys(findTestObject(""Efc/EfcLoginPage/UserName""), username)",Chrome 71.0.3578.98,,2019-01-06 16:41:59,2019-01-06 16:41:59,0.301s,PASSED
"clearText(findTestObject(""Efc/EfcLoginPage/Password""), STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-06 16:41:59,2019-01-06 16:41:59,0.103s,PASSED
"sendKeys(findTestObject(""Efc/EfcLoginPage/Password""), password)",Chrome 71.0.3578.98,,2019-01-06 16:41:59,2019-01-06 16:42:00,0.115s,PASSED
"click(findTestObject(""Efc/EfcLoginPage/LoginLink""))",Chrome 71.0.3578.98,,2019-01-06 16:42:00,2019-01-06 16:42:05,5.458s,PASSED
"verifyElementPresent(findTestObject(""Efc/EfcLoginPage/WelcomeMessage""), timeOut)",Chrome 71.0.3578.98,,2019-01-06 16:42:05,2019-01-06 16:42:05,0.030s,PASSED
"click(findTestObject(""Efc/EfcLoginPage/ProfileLink""))",Chrome 71.0.3578.98,,2019-01-06 16:42:05,2019-01-06 16:42:05,0.269s,PASSED
"scrollToElement(findTestObject(""Efc/EfcLoginPage/Logout""), timeOut)",Chrome 71.0.3578.98,,2019-01-06 16:42:05,2019-01-06 16:42:05,0.118s,PASSED
"click(findTestObject(""Efc/EfcLoginPage/Logout""))",Chrome 71.0.3578.98,,2019-01-06 16:42:05,2019-01-06 16:42:11,5.281s,PASSED
closeBrowser(STOP_ON_FAILURE),Chrome 71.0.3578.98,,2019-01-06 16:42:11,2019-01-06 16:42:12,1.344s,PASSED
,,,,,,
Test Cases/UserLogin/LoginWithParameterization,Chrome 71.0.3578.98,This test case is to verify user login,2019-01-06 16:42:12,2019-01-06 16:42:47,35.028s,PASSED
openBrowser(applicationUrl),Chrome 71.0.3578.98,,2019-01-06 16:42:12,2019-01-06 16:42:24,11.602s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-06 16:42:24,2019-01-06 16:42:25,1.275s,PASSED
waitForPageLoad(timeOut),Chrome 71.0.3578.98,,2019-01-06 16:42:25,2019-01-06 16:42:26,0.365s,PASSED
"waitForElementVisible(findTestObject(""Efc/EfcLoginPage/EfcLogo""), timeOut)",Chrome 71.0.3578.98,,2019-01-06 16:42:26,2019-01-06 16:42:27,1.344s,PASSED
"verifyElementPresent(findTestObject(""Efc/EfcLoginPage/SearchButton""), timeOut)",Chrome 71.0.3578.98,,2019-01-06 16:42:27,2019-01-06 16:42:27,0.038s,PASSED
"click(findTestObject(""Efc/EfcLoginPage/LoginButton""))",Chrome 71.0.3578.98,,2019-01-06 16:42:27,2019-01-06 16:42:30,3.289s,PASSED
"clearText(findTestObject(""Efc/EfcLoginPage/UserName""))",Chrome 71.0.3578.98,,2019-01-06 16:42:30,2019-01-06 16:42:30,0.086s,PASSED
"sendKeys(findTestObject(""Efc/EfcLoginPage/UserName""), findTestData(""UserData/New Test Data"").getValue(1, 1))",Chrome 71.0.3578.98,,2019-01-06 16:42:30,2019-01-06 16:42:31,0.641s,PASSED
"clearText(findTestObject(""Efc/EfcLoginPage/Password""), STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-06 16:42:31,2019-01-06 16:42:31,0.069s,PASSED
"sendKeys(findTestObject(""Efc/EfcLoginPage/Password""), findTestData(""UserData/New Test Data"").getValue(2, 1))",Chrome 71.0.3578.98,,2019-01-06 16:42:31,2019-01-06 16:42:31,0.101s,PASSED
"click(findTestObject(""Efc/EfcLoginPage/LoginLink""))",Chrome 71.0.3578.98,,2019-01-06 16:42:31,2019-01-06 16:42:36,4.452s,PASSED
"verifyElementPresent(findTestObject(""Efc/EfcLoginPage/WelcomeMessage""), timeOut)",Chrome 71.0.3578.98,,2019-01-06 16:42:36,2019-01-06 16:42:36,0.050s,PASSED
"click(findTestObject(""Efc/EfcLoginPage/ProfileLink""))",Chrome 71.0.3578.98,,2019-01-06 16:42:36,2019-01-06 16:42:36,0.439s,PASSED
"scrollToElement(findTestObject(""Efc/EfcLoginPage/Logout""), timeOut)",Chrome 71.0.3578.98,,2019-01-06 16:42:36,2019-01-06 16:42:36,0.049s,PASSED
"click(findTestObject(""Efc/EfcLoginPage/Logout""))",Chrome 71.0.3578.98,,2019-01-06 16:42:36,2019-01-06 16:42:46,9.975s,PASSED
closeBrowser(STOP_ON_FAILURE),Chrome 71.0.3578.98,,2019-01-06 16:42:46,2019-01-06 16:42:47,0.887s,PASSED
