Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginTestSuite,,,2019-01-06 17:40:39,2019-01-06 17:40:41,1.716s,ERROR
,,,,,,
Test Cases/UserLogin/Login,,This test case is to verify user login,2019-01-06 17:40:40,2019-01-06 17:40:40,0.846s,ERROR
openBrowser(baseUrl),,,2019-01-06 17:40:40,2019-01-06 17:40:40,0.025s,ERROR
,,,,,,
Test Cases/UserLogin/LoginWithParameterization,,This test case is to verify user login,2019-01-06 17:40:40,2019-01-06 17:40:41,0.482s,ERROR
openBrowser(baseUrl),,,2019-01-06 17:40:41,2019-01-06 17:40:41,0.005s,ERROR
