Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginTestSuite,Chrome 71.0.3578.98,,2019-01-06 16:38:33,2019-01-06 16:40:55,2m - 22.478s,FAILED
,,,,,,
Test Cases/UserLogin/Login,Chrome 71.0.3578.98,This test case is to verify user login,2019-01-06 16:38:34,2019-01-06 16:39:47,1m - 12.624s,FAILED
openBrowser(applicationUrl),Chrome 71.0.3578.98,,2019-01-06 16:38:37,2019-01-06 16:39:06,29.269s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-06 16:39:06,2019-01-06 16:39:16,10.138s,PASSED
waitForPageLoad(timeOut),Chrome 71.0.3578.98,,2019-01-06 16:39:16,2019-01-06 16:39:47,30.376s,FAILED
,,,,,,
Test Cases/UserLogin/LoginWithParameterization,Chrome 71.0.3578.98,This test case is to verify user login,2019-01-06 16:39:47,2019-01-06 16:40:53,1m - 6.147s,FAILED
openBrowser(applicationUrl),Chrome 71.0.3578.98,,2019-01-06 16:39:47,2019-01-06 16:40:32,44.749s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-06 16:40:32,2019-01-06 16:40:33,1.147s,PASSED
waitForPageLoad(timeOut),Chrome 71.0.3578.98,,2019-01-06 16:40:33,2019-01-06 16:40:33,0.061s,PASSED
"waitForElementVisible(findTestObject(""Efc/EfcLoginPage/EfcLogo""), timeOut)",Chrome 71.0.3578.98,,2019-01-06 16:40:33,2019-01-06 16:40:33,0.215s,PASSED
"verifyElementPresent(findTestObject(""Efc/EfcLoginPage/SearchButton""), timeOut)",Chrome 71.0.3578.98,,2019-01-06 16:40:33,2019-01-06 16:40:33,0.095s,PASSED
"click(findTestObject(""Efc/EfcLoginPage/LoginButton""))",Chrome 71.0.3578.98,,2019-01-06 16:40:33,2019-01-06 16:40:40,6.863s,PASSED
"clearText(findTestObject(""Efc/EfcLoginPage/UserName""))",Chrome 71.0.3578.98,,2019-01-06 16:40:40,2019-01-06 16:40:40,0.136s,PASSED
"sendKeys(findTestObject(""Efc/EfcLoginPage/UserName""), findTestData(""UserData/New Test Data"").getValue(1, 1))",Chrome 71.0.3578.98,,2019-01-06 16:40:40,2019-01-06 16:40:41,0.863s,PASSED
"clearText(findTestObject(""Efc/EfcLoginPage/Password""), STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-06 16:40:41,2019-01-06 16:40:41,0.085s,PASSED
"sendKeys(findTestObject(""Efc/EfcLoginPage/Password""), findTestData(""UserData/New Test Data"").getValue(2, 1))",Chrome 71.0.3578.98,,2019-01-06 16:40:41,2019-01-06 16:40:41,0.133s,PASSED
"click(findTestObject(""Efc/EfcLoginPage/LoginLink""))",Chrome 71.0.3578.98,,2019-01-06 16:40:41,2019-01-06 16:40:50,8.513s,PASSED
"verifyElementPresent(findTestObject(""Efc/EfcLoginPage/WelcomeMessage""), timeOut)",Chrome 71.0.3578.98,,2019-01-06 16:40:50,2019-01-06 16:40:50,0.148s,PASSED
"click(findTestObject(""Efc/EfcLoginPage/ProfileLink""))",Chrome 71.0.3578.98,,2019-01-06 16:40:50,2019-01-06 16:40:51,0.818s,PASSED
"scrollToElement(findTestObject(""Efc/EfcLoginPage/Logout""), timeOut)",Chrome 71.0.3578.98,,2019-01-06 16:40:51,2019-01-06 16:40:51,0.368s,PASSED
"click(findTestObject(""Efc/EfcLoginPage/Logout""))",Chrome 71.0.3578.98,,2019-01-06 16:40:51,2019-01-06 16:40:53,1.641s,FAILED
